"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"LUCIO MOSQUINI" "NOVA BRASILÂNDIA DO OESTE" 627 11173 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.61 "TOTAL:60,07%"
"MARCOS ROGERIO" "NOVA BRASILÂNDIA DO OESTE" 627 11173 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.61 "TOTAL:60,07%"
"LAZINHO DA FETAGRO" "NOVA UNIÃO" 242 4307 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.62 "TOTAL:51,15%"
"LAZINHO DA FETAGRO" "NOVO HORIZONTE DO OESTE" 333 5921 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.62 "TOTAL:36,97%"
"VALDIVINO TUCURA" "CACOAL" 2544 45235 "SUPLENTE" "DEPUTADO ESTADUAL" 5.62 "TOTAL:51,58%"
"LUIZINHO GOEBEL" "CABIXI" 215 3817 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.63 "TOTAL:56,95%"
"DR. ADILSON DENTISTA" "BURITIS" 991 17580 "SUPLENTE" "DEPUTADO ESTADUAL" 5.64 "TOTAL:53,17%"
"LEBRÃO" "URUPÁ" 417 7345 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.68 "TOTAL:62,24%"
"ROBERTO SOBRINHO" "PORTO VELHO" 14269 250141 "NÃO ELEITO" "DEPUTADO FEDERAL" 5.7 "TOTAL:38,37%"
"MARCOS ROGERIO" "PRIMAVERA DE RONDÔNIA" 125 2184 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.72 "TOTAL:56,78%"
"DANIEL DEINA" "SANTA LUZIA DO OESTE" 324 5655 "SUPLENTE" "DEPUTADO ESTADUAL" 5.73 "TOTAL:38,76%"
"MAURÃO DE CARVALHO" "BURITIS" 1011 17580 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.75 "TOTAL:53,17%"
"SAULO MOREIRA" "MONTE NEGRO" 456 7903 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.77 "TOTAL:48,65%"
"EDSON MARTINS" "GOVERNADOR JORGE TEIXEIRA" 328 5651 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.8 "TOTAL:46,66%"
"LAZINHO DA FETAGRO" "URUPÁ" 426 7345 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.8 "TOTAL:62,24%"
"LUCIO MOSQUINI" "CUJUBIM" 457 7882 "ELEITO POR QP" "DEPUTADO FEDERAL" 5.8 "TOTAL:44,52%"
"DANIEL DEINA" "ALTO ALEGRE DOS PARECIS" 383 6585 "SUPLENTE" "DEPUTADO ESTADUAL" 5.82 "TOTAL:36,2%"
"FATIMA CLEIDE" "ALTO PARAÍSO" 552 9467 "NÃO ELEITO" "DEPUTADO FEDERAL" 5.83 "TOTAL:57,52%"
"VALDIVINO TUCURA" "SÃO FELIPE DO OESTE" 221 3784 "SUPLENTE" "DEPUTADO ESTADUAL" 5.84 "TOTAL:65,45%"
"CLEITON ROQUE" "SÃO FELIPE DO OESTE" 223 3784 "ELEITO POR QP" "DEPUTADO ESTADUAL" 5.89 "TOTAL:65,45%"
"EXPEDITO NETTO" "ALTA FLORESTA DO OESTE" 822 13945 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 5.89 "TOTAL:61,53%"
"FATIMA CLEIDE" "MINISTRO ANDREAZZA" 340 5693 "NÃO ELEITO" "DEPUTADO FEDERAL" 5.97 "TOTAL:53,75%"
"PROFESSOR EMERSON" "NOVA BRASILÂNDIA DO OESTE" 667 11173 "SUPLENTE" "DEPUTADO ESTADUAL" 5.97 "TOTAL:53,38%"
"ANDERSON EXCELLER" "JI-PARANÁ" 3938 65328 "SUPLENTE" "DEPUTADO ESTADUAL" 6.03 "TOTAL:41,09%"
"EUCLIDES MACIEL" "SERINGUEIRAS" 421 6956 "SUPLENTE" "DEPUTADO ESTADUAL" 6.05 "TOTAL:46,7%"
"AMIR LANDO" "RIO CRESPO" 136 2232 "SUPLENTE" "DEPUTADO FEDERAL" 6.09 "TOTAL:58,24%"
"DELEGADO THIAGO FLORES" "RIO CRESPO" 136 2232 "SUPLENTE" "DEPUTADO FEDERAL" 6.09 "TOTAL:58,24%"
