"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"ADRIANO GADELHA" "ENCANTO" 84 3486 "SUPLENTE" "DEPUTADO FEDERAL" 2.41 "TOTAL:65,09%"
"WALTER ALVES" "VÁRZEA" 97 4022 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.41 "TOTAL:72,67%"
"ALVARO DIAS" "BODÓ" 55 2271 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 2.42 "TOTAL:75,25%"
"SANDRA ROSADO" "ENCANTO" 85 3486 "SUPLENTE" "DEPUTADO FEDERAL" 2.44 "TOTAL:65,09%"
"WALTER ALVES" "SERRINHA DOS PINTOS" 78 3196 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.44 "TOTAL:81%"
"FABIO FARIA" "TABOLEIRO GRANDE" 50 2040 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.45 "TOTAL:82,31%"
"ALBERT DICKSON OFTALMOLOGISTA" "JARDIM DE ANGICOS" 57 2310 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.47 "TOTAL:73,12%"
"GUSTAVO CARVALHO" "RIACHO DE SANTANA" 67 2701 "ELEITO POR QP" "DEPUTADO ESTADUAL" 2.48 "TOTAL:75,41%"
"WALTER ALVES" "VIÇOSA" 33 1332 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.48 "TOTAL:73,79%"
"FABIO FARIA" "RIACHO DE SANTANA" 68 2701 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.52 "TOTAL:66,41%"
"WALTER ALVES" "GOVERNADOR DIX-SEPT ROSADO" 236 9332 "ELEITO POR QP" "DEPUTADO FEDERAL" 2.53 "TOTAL:62,09%"
"SAVIO" "SÃO TOMÉ" 190 7455 "SUPLENTE" "DEPUTADO FEDERAL" 2.55 "TOTAL:79,86%"
